Species	RSD	ANI	Reads	Sample
Acinetobacter tjernbergiae	0.6260528528080284	80.00633544303797	316	CRF1D7
Acinetobacter towneri	1.7132089207355448	91.34834502923977	513	CRF1D7
Acinetobacter ursingii	1.6525075592711038	87.38003891708968	591	CRF1D7
Acinetobacter variabilis	0.8084042446376639	83.62848205128205	195	CRF1D7
Acinetobacter venetianus	0.47465562497687075	77.7056294117647	170	CRF1D7
Acinetobacter wuhouensis	1.2247427595209968	80.84605432595573	497	CRF1D7
Agrilactobacillus composti	1.2171612389003692	80.20793333333333	90	CRF1D7
Agrobacterium albertimagni	0.3050096731633415	79.77557692307693	260	CRF1D7
Agrobacterium arsenijevicii	0.24895078766529516	80.26381188118812	606	CRF1D7
Agrobacterium bohemicum	0.3037278502613541	77.77121929824561	228	CRF1D7
Agrobacterium deltaense	0.17852314635377584	89.38302277227723	1010	CRF1D7
Agrobacterium fabrum	0.17945353389283517	81.65669155206287	509	CRF1D7
Agrobacterium nepotum	0.21640611146013583	80.10961210762332	446	CRF1D7
Agrobacterium pusense	0.32079951426662817	82.43933404255318	470	CRF1D7
Agrobacterium rosae	0.42131601912761496	78.19170573566085	401	CRF1D7
Agrobacterium salinitolerans	0.17713401034919296	81.67696694214877	363	CRF1D7
Agrobacterium tumefaciens	0.2914564903703785	81.4517163814181	409	CRF1D7
Amylolactobacillus amylophilus	2.577273863099824	93.55478076923077	260	CRF1D7
Amylolactobacillus amylotrophicus	2.971023691104027	92.61952521008403	238	CRF1D7
Apilactobacillus apinorum	0.6067774136512427	74.50492307692308	26	CRF1D7
Apilactobacillus kosoi	1.4744390527224267	73.01726829268293	41	CRF1D7
Apilactobacillus kunkeei	0.14834034235396767	89.84113186813187	182	CRF1D7
Apilactobacillus micheneri	1.2414017400226744	84.35012264150943	106	CRF1D7
Apilactobacillus ozensis	0.875465538611916	72.19114285714285	35	CRF1D7
Apilactobacillus quenuiae	1.0847068630679817	73.90120879120879	91	CRF1D7
Apilactobacillus timberlakei	0.7856742013183862	72.95403333333333	30	CRF1D7
Arcobacter anaerophilus	0.6060709979572136	73.24803703703704	27	CRF1D7
Arcobacter aquimarinus	0.40546158014110484	80.805125	56	CRF1D7
Arcobacter bivalviorum	0.7318124075303232	73.91492105263158	38	CRF1D7
Arcobacter butzleri	0.249678583782141	88.86783409536251	1531	CRF1D7
Arcobacter canalis	0.5790558866992931	77.78842307692308	26	CRF1D7
Arcobacter cibarius	0.18314637039339696	82.94614364640884	181	CRF1D7
Arcobacter cloacae	0.49948046475605146	80.54604347826087	69	CRF1D7
Arcobacter cryaerophilus	0.30952373780707193	83.73300884955752	113	CRF1D7
Arcobacter defluvii	0.20371226947868107	82.0405693430657	137	CRF1D7
Arcobacter ebronensis	0.41505933474448997	74.11925806451613	31	CRF1D7
Arcobacter ellisii	0.37833488965487566	84.79293525179857	139	CRF1D7
Arcobacter halophilus	0.5500453385749609	75.13858620689655	29	CRF1D7
Arcobacter lanthieri	0.26221917840589554	87.17204347826087	552	CRF1D7
Arcobacter lekithochrous	0.5354488194221646	72.69012121212121	33	CRF1D7
Arcobacter marinus	0.5722915343117291	73.825	33	CRF1D7
Arcobacter molluscorum	0.7328281087929399	74.15971666666667	60	CRF1D7
Arcobacter mytili	0.5678189759219318	76.184	47	CRF1D7
Arcobacter nitrofigilis	0.7637626158259734	73.8331	40	CRF1D7
Arcobacter pacificus	0.5240499688641008	73.97171428571428	21	CRF1D7
Arcobacter porcinus	0.508874412840808	81.20450909090908	55	CRF1D7
Arcobacter skirrowii	0.6352243699932943	81.04708695652174	69	CRF1D7
Arcobacter suis	0.4319841796550655	82.19339361702127	94	CRF1D7
Arcobacter thereius	0.5355568715716168	80.83633333333333	69	CRF1D7
Arcobacter trophiarum	0.4852172071157831	82.05315873015873	63	CRF1D7
Arcobacter venerupis	1.1777048761027253	74.24686466165413	133	CRF1D7
Arthrobacter agilis	0.3843690317752738	76.04665662650602	166	CRF1D7
Arthrobacter alpinus	0.31355008703350495	75.37	157	CRF1D7
Arthrobacter castelli	0.38237822589536774	75.00075	128	CRF1D7
Arthrobacter crystallopoietes	0.33998262628313974	76.25010483870967	372	CRF1D7
Arthrobacter cupressi	0.3738069571568341	79.25559512195122	205	CRF1D7
Arthrobacter echini	0.3281402856004643	75.16116379310344	116	CRF1D7
Arthrobacter enclensis	0.2943978425537732	76.44106030150753	199	CRF1D7
Arthrobacter glacialis	0.2705425815158579	75.95207586206897	145	CRF1D7
Arthrobacter globiformis	0.3681014783788432	75.75805445544555	202	CRF1D7
Arthrobacter humicola	0.2509642781685536	75.32115730337078	178	CRF1D7
Arthrobacter koreensis	0.32053786275427304	76.00096739130434	276	CRF1D7
Arthrobacter livingstonensis	0.3365573257289922	75.5941330049261	203	CRF1D7
Arthrobacter luteolus	0.31758963652300365	75.4514	275	CRF1D7
Arthrobacter nitrophenolicus	0.21170737194974693	76.30342857142857	224	CRF1D7
Arthrobacter oryzae	0.2792675287935562	75.37358659217877	179	CRF1D7
Arthrobacter pityocampae	0.21871683660336824	76.23205829596412	223	CRF1D7
Arthrobacter psychrochitiniphilus	0.3327651138498837	74.69772897196262	107	CRF1D7
Arthrobacter psychrolactophilus	0.32864037286841846	74.69000975609757	205	CRF1D7
Arthrobacter rhombi	0.3017248548482821	76.24723595505618	445	CRF1D7
Arthrobacter ruber	0.2844563971512675	76.931	203	CRF1D7
Arthrobacter silvisoli	0.3210151228701152	76.9074898989899	198	CRF1D7
Arthrobacter subterraneus	0.4681503044374392	75.77848924731182	186	CRF1D7
Arthrobacter woluwensis	0.12342129221112041	77.49512621359223	309	CRF1D7
Bacillus abyssalis	1.1111111111111112	73.37036666666667	30	CRF1D7
Bacillus acanthi	0.9570887626328053	72.48407407407407	27	CRF1D7
Bacillus acidiceler	0.6367100066905911	74.22578431372548	51	CRF1D7
Bacillus acidicola	1.0004590314678288	71.52490909090909	11	CRF1D7
Bacillus acidiproducens	0.9290733161670237	74.62281818181819	22	CRF1D7
Bacillus aciditolerans	2.099712922410469	92.04483421516755	567	CRF1D7
Bacillus aerius	1.2909944487358054	73.20325	8	CRF1D7
Bacillus aerophilus	1.9107050140703696	73.0957142857143	7	CRF1D7
Bacillus aidingensis	0.7959954870644664	72.24990909090909	11	CRF1D7
Bacillus akibai	0.5486926626104307	74.6922558139535	43	CRF1D7
Bacillus albus	0.677202072477852	74.40236842105263	19	CRF1D7
Bacillus alcalophilus	0.3292761690316737	90.0356075949367	79	CRF1D7
Bacillus alkalinitrilicus	0.6108802575145906	74.25420930232558	43	CRF1D7
Bacillus alkalitelluris	0.7495581217926287	72.32212676056338	71	CRF1D7
Bacillus altitudinis	1.7480147469502523	72.39750000000001	4	CRF1D7
Bacillus alveayuensis	1.1436634224609592	71.70945454545455	88	CRF1D7
Bacillus amyloliquefaciens	1.104921028901948	77.39333333333333	9	CRF1D7
Bacillus andreraoultii	0.4	73.72632	50	CRF1D7
Bacillus anthracis	0.48907824615719475	74.10225	24	CRF1D7
Bacillus aquimaris	1.1653431646335017	74.71383333333333	6	CRF1D7
Bacillus aryabhattai	0.7944581222989572	74.22469230769231	26	CRF1D7
Bacillus asahii	0.5429406786186372	75.03131428571429	35	CRF1D7
Bacillus atrophaeus	1.0540925533894598	75.5888	5	CRF1D7
Bacillus aurantiacus	0.6301152630199289	73.56526315789473	19	CRF1D7
Bacillus australimaris	1.3333333333333333	76.6028	10	CRF1D7
Bacillus axarquiensis	1.1761037176408067	78.26542857142857	7	CRF1D7
Bacillus azotoformans	1.2720055673827488	83.88205454545455	55	CRF1D7
Bacillus badius	1.355261854357877	72.647	14	CRF1D7
Bacillus bataviensis	0.7417688338666567	74.7164074074074	27	CRF1D7
Bacillus beveridgei	2.1081851067789192	81.01650000000001	2	CRF1D7
Bacillus bogoriensis	0.7570227020620193	73.80311111111111	54	CRF1D7
Bacillus bombysepticus	0.7856742013183862	75.67613333333334	15	CRF1D7
Bacillus boroniphilus	1.1268723396380222	75.65764285714286	14	CRF1D7
Bacillus butanolivorans	0.5735620666609035	72.72393103448276	29	CRF1D7
Bacillus camelliae	0.8245094969647963	74.67278461538461	65	CRF1D7
Bacillus campisalis	0.8606629658238705	74.30766666666666	18	CRF1D7
Bacillus canaveralius	0.7831560082980487	72.07796	25	CRF1D7
Bacillus caseinilyticus	0.6478292720411618	73.1461320754717	53	CRF1D7
Bacillus cavernae	1.2219065248845984	74.22331249999999	16	CRF1D7
Bacillus cecembensis	0.39205747870339397	73.65158208955224	67	CRF1D7
Bacillus cellulasensis	1.405456737852613	72.2805	6	CRF1D7
Bacillus cellulosilyticus	0.4932975938212032	74.17165909090909	44	CRF1D7
Bacillus cereus	0.8936504412303006	75.3930625	16	CRF1D7
Bacillus chagannorensis	1.1697126706435625	74.71054545454545	11	CRF1D7
Bacillus cibi	1.536590742882148	72.891625	8	CRF1D7
Bacillus ciccensis	1.355261854357877	76.26814285714286	7	CRF1D7
Bacillus cihuensis	0.8803603202966453	74.19808333333333	36	CRF1D7
Bacillus circulans	0.5017601116266708	76.81118548387097	124	CRF1D7
Bacillus clausii	0.49344120720274914	78.00233333333334	36	CRF1D7
Bacillus coagulans	0.5957669608202004	72.61595833333334	24	CRF1D7
Bacillus coahuilensis	0.8754368385876947	73.95810526315789	19	CRF1D7
Bacillus cohnii	0.44911036025496637	73.17551063829787	47	CRF1D7
Bacillus cucumis	0.6440210062769874	73.93759016393443	61	CRF1D7
Bacillus cytotoxicus	0.6023386019368342	76.62025	28	CRF1D7
Bacillus dakarensis	1.3241873818392251	75.4569375	16	CRF1D7
Bacillus daliensis	1.355261854357877	72.23985714285715	7	CRF1D7
Bacillus decisifrondis	0.4981414207691605	75.62712359550562	89	CRF1D7
Bacillus deserti	0.9860132971832694	78.087625	8	CRF1D7
Bacillus dielmonensis	0.891115181857708	74.17785185185186	27	CRF1D7
Bacillus drentensis	0.9259831752240382	75.23206896551724	29	CRF1D7
Bacillus eiseniae	2.761837268389175	96.26444808743169	183	CRF1D7
Bacillus encimensis	0.9035079029052513	74.42621428571428	14	CRF1D7
Bacillus enclensis	0.816496580927726	74.556	10	CRF1D7
Bacillus endophyticus	0.6900655593423543	73.9225	28	CRF1D7
Bacillus farraginis	1.543604887716645	72.93781666666666	60	CRF1D7
Bacillus fastidiosus	0.90267093384844	75.19796666666667	30	CRF1D7
Bacillus filamentosus	0.4182070292828228	72.12858333333334	36	CRF1D7
Bacillus firmus	1.0213147899774866	74.32757142857143	14	CRF1D7
Bacillus flexus	0.5815189173257647	74.28530434782608	23	CRF1D7
Bacillus foraminis	0.9258200997725515	72.89648571428572	35	CRF1D7
Bacillus fordii	1.5133570078162575	71.109	14	CRF1D7
Bacillus fortis	1.0883809088526044	72.85263636363636	11	CRF1D7
Bacillus freudenreichii	0.9860132971832694	75.438875	16	CRF1D7
Bacillus fumarioli	1.2642799123225734	77.96756521739131	23	CRF1D7
Bacillus funiculus	0.4714045207910317	74.01468571428572	35	CRF1D7
Bacillus gaemokensis	0.623147003218459	73.72879411764706	34	CRF1D7
Bacillus galactosidilyticus	0.6411929798546733	72.75105970149254	67	CRF1D7
Bacillus gibsonii	1.355261854357877	86.24628571428572	7	CRF1D7
Bacillus ginsengihumi	0.6820598874872975	73.368	51	CRF1D7
Bacillus glycinifermentans	0.5270462766947299	74.48475	12	CRF1D7
Bacillus gobiensis	0.834197936713045	75.17088235294118	17	CRF1D7
Bacillus gotheilii	0.951259067489541	73.72939473684211	38	CRF1D7
Bacillus halmapalus	0.5233836452693438	75.29763157894737	57	CRF1D7
Bacillus halodurans	0.7627040392731285	73.71526315789474	19	CRF1D7
Bacillus halosaccharovorans	0.4039011129992774	73.2487027027027	74	CRF1D7
Bacillus halotolerans	3.162277660168379	81.25	1	CRF1D7
Bacillus haynesii	0.7666127661014253	73.52054545454546	22	CRF1D7
Bacillus hemicellulosilyticus	0.5100552422255339	72.2916862745098	51	CRF1D7
Bacillus hisashii	0.5576904292425781	75.29974193548387	31	CRF1D7
Bacillus horikoshii	0.5180331299459964	77.66690588235294	85	CRF1D7
Bacillus horneckiae	0.6860605019571372	76.04575	24	CRF1D7
Bacillus humi	0.5037346109280443	73.07588235294118	34	CRF1D7
Bacillus hwajinpoensis	1.2668615834434866	70.85706666666667	15	CRF1D7
Bacillus indicus	1.536590742882148	72.110625	8	CRF1D7
Bacillus infantis	0.5580489988532434	71.43211764705882	17	CRF1D7
Bacillus intestinalis	1.6101529717988265	74.94	3	CRF1D7
Bacillus jeddahensis	0.716894994460353	73.11806896551724	29	CRF1D7
Bacillus jeotgali	1.0004590314678288	72.188	11	CRF1D7
Bacillus kochii	0.594902903859593	78.90133333333333	45	CRF1D7
Bacillus koreensis	0.5984368987312575	73.74245454545455	22	CRF1D7
Bacillus korlensis	0.7312555063989873	72.66829268292683	41	CRF1D7
Bacillus kribbensis	0.9428090415820634	70.5934	10	CRF1D7
Bacillus krulwichiae	0.6383851214156748	75.7319705882353	34	CRF1D7
Bacillus kyonggiensis	2.8513889447684564	96.1461582278481	316	CRF1D7
Bacillus lehensis	0.30285799262242036	94.88389075630252	119	CRF1D7
Bacillus lentus	0.8020441719763131	72.89676315789474	38	CRF1D7
Bacillus licheniformis	1.6457014715109581	85.10075	8	CRF1D7
Bacillus ligniniphilus	0.8936504412303006	72.272625	16	CRF1D7
Bacillus litoralis	0.8190932073197278	73.049875	88	CRF1D7
Bacillus loiseleuriae	0.5923488777590924	74.46736842105263	38	CRF1D7
Bacillus lonarensis	1.1959815093204498	72.2783043478261	23	CRF1D7
Bacillus luciferensis	0.49187350026665816	74.66625531914893	47	CRF1D7
Bacillus luti	2.0290160230190213	71.05454761904763	42	CRF1D7
Bacillus manannilyticus	0.6422107093937939	72.58184210526315	38	CRF1D7
Bacillus manliponensis	0.5466077591562216	74.41712820512821	39	CRF1D7
Bacillus marinisedimentorum	1.5462957305342924	72.95214285714286	21	CRF1D7
Bacillus marisflavi	0.6478835438717	72.43373333333334	15	CRF1D7
Bacillus marmarensis	1.0883809088526044	73.46136363636363	11	CRF1D7
Bacillus massiliglaciei	1.097134314340639	74.106125	24	CRF1D7
Bacillus massilioanorexius	0.5204164998665332	74.1899875	80	CRF1D7
Bacillus massiliogabonensis	0.649753964390142	73.18291304347827	23	CRF1D7
Bacillus massiliogorillae	0.5110751774009502	74.58228787878788	66	CRF1D7
Bacillus massiliosenegalensis	1.0999438818457405	73.49415555555555	45	CRF1D7
Bacillus megaterium	0.5270462766947299	79.40860714285715	28	CRF1D7
Bacillus mesonae	0.7653858076264806	82.00311320754717	53	CRF1D7
Bacillus methanolicus	1.1547005383792515	74.00425	20	CRF1D7
Bacillus mobilis	1.1544823203789323	72.6745238095238	21	CRF1D7
Bacillus mojavensis	1.1653431646335017	76.26866666666666	6	CRF1D7
Bacillus muralis	0.834197936713045	72.66288235294118	17	CRF1D7
Bacillus mycoides	0.7831560082980487	73.0424	25	CRF1D7
Bacillus nakamurai	1.1761037176408067	70.95842857142857	7	CRF1D7
Bacillus ndiopicus	0.5449781219485215	74.42842647058824	68	CRF1D7
Bacillus nealsonii	0.6508857061714878	74.69086538461538	104	CRF1D7
Bacillus niacini	0.9409658158863512	74.12168750000001	16	CRF1D7
Bacillus niameyensis	0.6075267994050849	71.59861764705882	34	CRF1D7
Bacillus notoginsengisoli	1.2129142200632221	77.5663559322034	59	CRF1D7
Bacillus novalis	0.5624571314254607	75.62370833333333	24	CRF1D7
Bacillus obstructivus	0.8733018649193026	76.10823076923077	26	CRF1D7
Bacillus oceanisediminis	0.4994327848429293	75.00907142857143	14	CRF1D7
Bacillus okhensis	0.7046776885348315	73.71882222222222	45	CRF1D7
Bacillus okuhidensis	0.9628196592573635	72.11853846153846	13	CRF1D7
Bacillus oleivorans	1.167410477176825	74.08221875	32	CRF1D7
Bacillus oleronius	0.6706437044951689	74.03767741935484	31	CRF1D7
Bacillus onubensis	0.45145684260664126	72.1328076923077	26	CRF1D7
Bacillus oryziterrae	1.0138365218342509	73.3405806451613	31	CRF1D7
Bacillus oshimensis	0.3528245572759167	93.33738775510204	49	CRF1D7
Bacillus pacificus	1.0409977275966813	72.17377777777777	18	CRF1D7
Bacillus panaciterrae	1.0562681853292955	74.46756818181818	44	CRF1D7
Bacillus paralicheniformis	1.1439589045541112	70.8966	15	CRF1D7
Bacillus paramycoides	1.9841788760002994	73.63590384615385	104	CRF1D7
Bacillus paranthracis	0.6573421981221796	73.12983333333334	12	CRF1D7
Bacillus patagoniensis	0.3715737627228061	76.3165576923077	52	CRF1D7
Bacillus persicus	2.0629644063200345	77.64478723404255	47	CRF1D7
Bacillus plakortidis	0.40546158014110484	91.62466071428571	56	CRF1D7
Bacillus polygoni	0.4842780013815086	73.3580588235294	17	CRF1D7
Bacillus populi	0.7362738570791603	72.9689411764706	17	CRF1D7
Bacillus praedii	0.35136418446315326	74.1481388888889	36	CRF1D7
Bacillus proteolyticus	0.5532833351724882	75.77528571428572	28	CRF1D7
Bacillus pseudalcaliphilus	1.0769235311162295	87.38219587628866	97	CRF1D7
Bacillus pseudofirmus	0.9431354425063588	73.95957894736841	19	CRF1D7
Bacillus pseudomycoides	0.5	74.20054999999999	40	CRF1D7
Bacillus psychrosaccharolyticus	0.7535922203472519	73.46316666666667	30	CRF1D7
Bacillus pumilus	0.6820598874872975	75.6544705882353	17	CRF1D7
Bacillus rhizosphaerae	0.5701042855894595	81.292	21	CRF1D7
Bacillus rubiinfantis	0.8827502801646993	82.59228260869565	46	CRF1D7
Bacillus safensis	1.0704360482220938	75.4539375	16	CRF1D7
Bacillus salacetis	0.7856742013183862	70.31093333333334	15	CRF1D7
Bacillus salarius	0.5879447357921312	73.15173333333334	30	CRF1D7
Bacillus salsus	0.44853476114194624	73.61947692307692	65	CRF1D7
Bacillus selenatarsenatis	1.135534053093029	73.83744444444444	18	CRF1D7
Bacillus selenitireducens	0.8395428851933614	71.13494736842105	19	CRF1D7
Bacillus shacheensis	0.677202072477852	73.88373684210526	19	CRF1D7
Bacillus shackletonii	0.6984161240833985	75.36583783783784	37	CRF1D7
Bacillus siamensis	0.9642122253007899	76.06157142857143	7	CRF1D7
Bacillus simplex	0.9217771979249537	72.61570588235294	17	CRF1D7
Bacillus sinesaloumensis	0.949400097017947	73.15639285714286	28	CRF1D7
Bacillus siralis	0.8940998714458342	76.65767924528302	53	CRF1D7
Bacillus smithii	1.2463097455526095	76.59496428571428	28	CRF1D7
Bacillus solani	1.186342028003479	72.76913333333333	15	CRF1D7
Bacillus soli	0.834197936713045	75.19923529411764	17	CRF1D7
Bacillus solimangrovi	0.834197936713045	76.61023529411764	34	CRF1D7
Bacillus solisilvae	0.5737753105492469	74.58785185185185	54	CRF1D7
Bacillus sonorensis	1.0004590314678288	75.30327272727273	11	CRF1D7
Bacillus sporothermodurans	0.5252357379304357	76.82755555555555	27	CRF1D7
Bacillus stratosphericus	1.1761037176408067	77.03614285714286	7	CRF1D7
Bacillus subterraneus	1.2297746456210366	75.957	12	CRF1D7
Bacillus subtilis subsp. globigii	1.6101529717988265	78.03566666666667	3	CRF1D7
Bacillus subtilis subsp. inaquosorum	1.536590742882148	72.89574999999999	8	CRF1D7
Bacillus subtilis subsp. natto	0.7905694150420948	73.507625	8	CRF1D7
Bacillus subtilis subsp. niger	1.699673171197595	72.0944	5	CRF1D7
Bacillus subtilis subsp. spizizenii	1.104921028901948	75.76988888888889	9	CRF1D7
Bacillus subtilis subsp. subtilis	1.2909944487358058	86.74591666666667	12	CRF1D7
Bacillus swezeyi	1.2909944487358058	72.98474999999999	12	CRF1D7
Bacillus taeanensis	0.7758255281424273	73.76160784313726	51	CRF1D7
Bacillus tequilensis	1.104921028901948	73.43388888888889	9	CRF1D7
Bacillus terrae	0.6573421981221796	73.14845833333334	24	CRF1D7
Bacillus testis	0.9369711585684086	73.80988888888889	18	CRF1D7
Bacillus thermoamylovorans	0.8576941299132841	73.21681818181818	33	CRF1D7
Bacillus thermocopriae	0.9428090415820634	74.1334	20	CRF1D7
Bacillus thermotolerans	0.7362738570791603	73.07882352941176	17	CRF1D7
Bacillus thuringiensis	0.6599663291074443	76.373	25	CRF1D7
Bacillus timonensis	0.45175395145262565	73.48385714285715	35	CRF1D7
Bacillus toyonensis	0.544202416101988	72.45126086956522	23	CRF1D7
Bacillus tropicus	0.7041787902195303	72.39609090909092	22	CRF1D7
Bacillus trypoxylicola	0.6731987219905977	74.35825531914894	47	CRF1D7
Bacillus tuaregi	0.7407785326716212	72.04705714285714	35	CRF1D7
Bacillus urumqiensis	1.0540925533894598	72.3614	10	CRF1D7
Bacillus vallismortis	1.4142135623730951	71.1738	5	CRF1D7
Bacillus velezensis	0.7905694150420948	75.0145	8	CRF1D7
Bacillus vietnamensis	1.5133570078162575	72.45785714285714	7	CRF1D7
Bacillus vireti	1.3737267633916703	74.4702380952381	21	CRF1D7
Bacillus wakoensis	0.828043422835757	74.08465116279069	43	CRF1D7
Bacillus weihaiensis	0.6085806194501846	74.20943333333334	30	CRF1D7
Bacillus wiedmannii	0.4714045207910317	75.42175	20	CRF1D7
Bacillus wudalianchiensis	0.9104527237904753	74.90642857142858	21	CRF1D7
Bacillus xiamenensis	0.9728833730787924	76.45988888888888	9	CRF1D7
Bacillus zeae	0.7905694150420948	73.376625	16	CRF1D7
Bacillus zhangzhouensis	0.8148845426702924	74.54807692307692	13	CRF1D7
Bacteroides acidifaciens	0.3726509464951661	75.53171084337349	83	CRF1D7
Bacteroides barnesiae	0.5930786413446347	73.71398076923077	52	CRF1D7
