Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area	Sample	Genus
Acinetobacter harbinensis	365	0.012587140081074977	513	1.76909667440862e-4	1.4054794520547946	CRF1D7	Acinetobacter
Acinetobacter idrijaensis	5475	0.14232353636164893	9370	0.0024357470971847497	1.7114155251141552	CRF1D7	Acinetobacter
Acinetobacter indicus	3122	0.10139761114763128	3122	0.0010139761114763128	1	CRF1D7	Acinetobacter
Acinetobacter johnsonii	6369	0.17650467533698425	6751	0.001870910760244906	1.0599780185272414	CRF1D7	Acinetobacter
Acinetobacter junii	1937	0.05768754258811869	1937	5.768754258811869e-4	1	CRF1D7	Acinetobacter
Acinetobacter kookii	1283	0.04158292552572583	2026	6.566407413493416e-4	1.5791114575214342	CRF1D7	Acinetobacter
Acinetobacter kyonggiensis	635	0.017097358552341072	635	1.7097358552341073e-4	1	CRF1D7	Acinetobacter
Acinetobacter lwoffii	2369	0.07360766091383492	2587	8.038118142004682e-4	1.0920219501899535	CRF1D7	Acinetobacter
Acinetobacter marinus	1316	0.0439431423821257	1439	4.805029018835781e-4	1.093465045592705	CRF1D7	Acinetobacter
Acinetobacter nectaris	289	0.010828277015052429	578	2.1656554030104858e-4	2	CRF1D7	Acinetobacter
Acinetobacter nosocomialis	2148	0.054979989126862486	2644	6.767555458632421e-4	1.2309124767225326	CRF1D7	Acinetobacter
Acinetobacter oleivorans	1187	0.02858489364228137	1335	3.214897473668545e-4	1.1246840775063185	CRF1D7	Acinetobacter
Acinetobacter parvus	4069	0.13970134331648038	4429	0.0015206125572590108	1.0884738264929958	CRF1D7	Acinetobacter
Acinetobacter piscicola	1959	0.054779642665595867	2158	6.034429243101373e-4	1.1015824400204186	CRF1D7	Acinetobacter
Acinetobacter pittii	1047	0.027334602160138475	1047	2.7334602160138474e-4	1	CRF1D7	Acinetobacter
Acinetobacter populi	2588199	70.20364000128028	6293835	1.707172155492904	2.4317430769426926	CRF1D7	Acinetobacter
Acinetobacter pragensis	9577	0.25839172801120663	11387	0.003072263346417051	1.1889944659079044	CRF1D7	Acinetobacter
Acinetobacter proteolyticus	1701	0.03888311064885191	1701	3.888311064885191e-4	1	CRF1D7	Acinetobacter
Acinetobacter qingfengensis	462953	14.740106808169076	541508	0.17241244267729167	1.1696824515663578	CRF1D7	Acinetobacter
Acinetobacter radioresistens	1587	0.049663807007760324	1766	5.526545883787318e-4	1.1127914303717705	CRF1D7	Acinetobacter
Acinetobacter schindleri	5447	0.16046271709011894	7242	0.0021334147184994337	1.3295391958876446	CRF1D7	Acinetobacter
Acinetobacter seifertii	1139	0.026915934847841078	1139	2.691593484784108e-4	1	CRF1D7	Acinetobacter
Acinetobacter soli	2546	0.07644605703788644	2546	7.644605703788644e-4	1	CRF1D7	Acinetobacter
Acinetobacter tandoii	3967	0.09725608874109384	6643	0.0016286165805573139	1.6745651625913789	CRF1D7	Acinetobacter
Acinetobacter tjernbergiae	1012	0.027407818865733374	1245	3.3718117082843927e-4	1.2302371541501975	CRF1D7	Acinetobacter
Acinetobacter towneri	23927	0.8104380436763342	70799	0.023980525370602575	2.958958498767083	CRF1D7	Acinetobacter
Acinetobacter ursingii	6855	0.19387743269511692	25867	0.007315868054740466	3.7734500364697303	CRF1D7	Acinetobacter
Acinetobacter variabilis	3357	0.09589343574154305	5661	0.0016170769726925088	1.6863270777479893	CRF1D7	Acinetobacter
Acinetobacter wuhouensis	1914	0.049731401066600844	3380	8.782243239556471e-4	1.7659352142110762	CRF1D7	Acinetobacter
Agrilactobacillus composti	1782	0.05165660590010042	2827	8.194905997731979e-4	1.5864197530864197	CRF1D7	Agrilactobacillus
Agrobacterium albertimagni	1833	0.0360467652207122	1901	3.7384015648976484e-4	1.0370976541189307	CRF1D7	Agrobacterium
Agrobacterium arsenijevicii	903	0.01433678554026422	903	1.433678554026422e-4	1	CRF1D7	Agrobacterium
Agrobacterium bohemicum	357	0.007574547229848045	422	8.953666473377801e-5	1.1820728291316527	CRF1D7	Agrobacterium
Agrobacterium deltaense	109928	2.080408996205687	116261	0.02200262265372511	1.0576104359216942	CRF1D7	Agrobacterium
Agrobacterium fabrum	4085	0.07199179170210449	5668	9.98897124522713e-4	1.387515299877601	CRF1D7	Agrobacterium
Agrobacterium nepotum	1163	0.02182450619943583	1310	2.4583063732812495e-4	1.126397248495271	CRF1D7	Agrobacterium
Agrobacterium pusense	17485	0.3309285417681596	19631	0.0037154464989709703	1.1227337718044037	CRF1D7	Agrobacterium
Agrobacterium rosae	446	0.008161931252016464	446	8.161931252016463e-5	1	CRF1D7	Agrobacterium
Agrobacterium salinitolerans	4078	0.08171589758942109	4415	8.846878073989557e-4	1.082638548307994	CRF1D7	Agrobacterium
Agrobacterium tumefaciens	3548	0.06460988232551872	3548	6.460988232551872e-4	1	CRF1D7	Agrobacterium
Amylolactobacillus amylophilus	7535	0.4839531166002663	29091	0.018684379714689246	3.86078301260783	CRF1D7	Amylolactobacillus
Amylolactobacillus amylotrophicus	6195	0.4000475278418873	23375	0.015094610110256843	3.7732041969330106	CRF1D7	Amylolactobacillus
Apilactobacillus kunkeei	12002	0.7927884129501545	12464	0.008233056806374543	1.0384935844025995	CRF1D7	Apilactobacillus
Apilactobacillus micheneri	406	0.02776689215298053	406	2.776689215298053e-4	1	CRF1D7	Apilactobacillus
Arcobacter butzleri	21198	0.90541338797079	23367	0.009980561674079371	1.1023209736767619	CRF1D7	Arcobacter
Arcobacter cibarius	538	0.02443955956097829	538	2.443955956097829e-4	1	CRF1D7	Arcobacter
Arcobacter cryaerophilus	1156	0.05482986615062087	1692	8.02527106633655e-4	1.4636678200692042	CRF1D7	Arcobacter
Arcobacter defluvii	426	0.014497601940092234	426	1.4497601940092233e-4	1	CRF1D7	Arcobacter
Arcobacter ellisii	1051	0.03753639798439186	1051	3.753639798439186e-4	1	CRF1D7	Arcobacter
Arcobacter lanthieri	12127	0.53007997314413	13789	0.0060272719961114935	1.137049558835656	CRF1D7	Arcobacter
Arcobacter skirrowii	286	0.014518901477577435	286	1.4518901477577435e-4	1	CRF1D7	Arcobacter
Arcobacter suis	664	0.025158481382534327	664	2.515848138253433e-4	1	CRF1D7	Arcobacter
Arthrobacter crystallopoietes	476	0.00945813434326073	476	9.458134343260731e-5	1	CRF1D7	Arthrobacter
Arthrobacter cupressi	842	0.020744679802664385	1787	4.4027010460049e-4	2.1223277909738716	CRF1D7	Arthrobacter
Arthrobacter enclensis	541	0.012801004015161498	1094	2.5885948969661145e-4	2.022181146025878	CRF1D7	Arthrobacter
Arthrobacter globiformis	551	0.011121404970521212	1129	2.2787778968636022e-4	2.0490018148820326	CRF1D7	Arthrobacter
Arthrobacter koreensis	294	0.008511414414688268	527	1.5256855090274552e-4	1.7925170068027212	CRF1D7	Arthrobacter
Arthrobacter nitrophenolicus	1151	0.026220948510349416	1335	3.041265530957122e-4	1.159860990443093	CRF1D7	Arthrobacter
Arthrobacter pityocampae	482	0.01324875387498564	482	1.324875387498564e-4	1	CRF1D7	Arthrobacter
Arthrobacter psychrochitiniphilus	344	0.008494498330732306	1397	3.4496552814049507e-4	4.061046511627907	CRF1D7	Arthrobacter
Arthrobacter rhombi	683	0.020531751316301698	860	2.58525712035424e-4	1.2591508052708638	CRF1D7	Arthrobacter
Arthrobacter ruber	377	0.01031274986876547	377	1.031274986876547e-4	1	CRF1D7	Arthrobacter
Arthrobacter silvisoli	468	0.010759417133866002	468	1.0759417133866002e-4	1	CRF1D7	Arthrobacter
Arthrobacter woluwensis	718	0.0186025736323805	718	1.86025736323805e-4	1	CRF1D7	Arthrobacter
Bacillus aciditolerans	3514	0.05933755045338178	102642	0.01733217089822428	29.209447922595334	CRF1D7	Bacillus
Bacillus alcalophilus	11113	0.25428489381151614	11391	0.002606460204631495	1.025015747322955	CRF1D7	Bacillus
Bacillus azotoformans	1155	0.02734862535863993	5402	0.0012791105990248735	4.677056277056277	CRF1D7	Bacillus
Bacillus bataviensis	463	0.008620137534946	463	8.620137534946e-5	1	CRF1D7	Bacillus
Bacillus circulans	1024	0.020089279583524123	1024	2.0089279583524123e-4	1	CRF1D7	Bacillus
Bacillus clausii	1167	0.025833106620336787	1167	2.5833106620336786e-4	1	CRF1D7	Bacillus
Bacillus eiseniae	589	0.010765704814609629	39938	0.00729984242590627	67.80645161290323	CRF1D7	Bacillus
Bacillus fumarioli	332	0.010078301114137975	814	2.4710051526832263e-4	2.4518072289156625	CRF1D7	Bacillus
Bacillus gibsonii	966	0.023560435443675195	1256	3.063344401372261e-4	1.300207039337474	CRF1D7	Bacillus
Bacillus hisashii	198	0.005162354753368501	328	8.55177959143873e-5	1.6565656565656566	CRF1D7	Bacillus
Bacillus kochii	774	0.01648781786712821	774	1.6487817867128212e-4	1	CRF1D7	Bacillus
Bacillus kyonggiensis	1206	0.025018566846872266	62922	0.01305321942901241	52.17412935323383	CRF1D7	Bacillus
Bacillus lehensis	22711	0.5687599500434878	23650	0.00592275673397406	1.0413456034520716	CRF1D7	Bacillus
Bacillus licheniformis	576	0.013640739394384324	576	1.3640739394384324e-4	1	CRF1D7	Bacillus
Bacillus megaterium	1498	0.026067406345273065	1498	2.6067406345273066e-4	1	CRF1D7	Bacillus
Bacillus mesonae	2871	0.04943415030254526	4969	8.555844404505309e-4	1.73075583420411	CRF1D7	Bacillus
Bacillus ndiopicus	243	0.00597321198781858	482	1.1848099498471423e-4	1.9835390946502058	CRF1D7	Bacillus
Bacillus notoginsengisoli	521	0.010882727023398698	620	1.2950654039361215e-4	1.1900191938579654	CRF1D7	Bacillus
Bacillus oshimensis	8435	0.20784170617958853	8695	0.002142482080890957	1.0308239478363959	CRF1D7	Bacillus
Bacillus plakortidis	9382	0.2364557148337022	9382	0.002364557148337022	1	CRF1D7	Bacillus
Bacillus pseudalcaliphilus	5550	0.12367930557746872	11715	0.0026106361528649476	2.110810810810811	CRF1D7	Bacillus
Bacillus rhizosphaerae	1468	0.03459786813027276	1468	3.459786813027276e-4	1	CRF1D7	Bacillus
Bacillus rubiinfantis	2187	0.050747534150166765	4031	9.353603573814458e-4	1.843164151806127	CRF1D7	Bacillus
Bacillus siralis	706	0.014101949504634068	706	1.4101949504634068e-4	1	CRF1D7	Bacillus
Bacillus sporothermodurans	379	0.010016232110190182	713	1.8843201832626912e-4	1.8812664907651715	CRF1D7	Bacillus
Bacillus subtilis subsp. subtilis	876	0.02077993057225936	997	2.3650217786007517e-4	1.1381278538812785	CRF1D7	Bacillus
Bacillus trypoxylicola	664	0.015271596371707895	664	1.5271596371707895e-4	1	CRF1D7	Bacillus
Bacteroides ovatus	502	0.007755903486278617	502	7.755903486278617e-5	1	CRF1D7	Bacteroides
Bacteroides reticulotermitis	73554	1.3709261663608112	80101	0.014929515301909798	1.089009435244854	CRF1D7	Bacteroides
Bacteroides xylanolyticus	2521	0.04478396488908729	3174	5.638409542164343e-4	1.2590241967473226	CRF1D7	Bacteroides
Bombilactobacillus mellifer	1680	0.0925595866112558	3692	0.002034107105766407	2.197619047619048	CRF1D7	Bombilactobacillus
Bradyrhizobium nanningense	368	0.004439036111558768	368	4.4390361115587676e-5	1	CRF1D7	Bradyrhizobium
Burkholderia brachyanthoides	3648	0.10289005994022901	32700	0.009222875438721185	8.963815789473685	CRF1D7	Burkholderia
Burkholderia catarinensis	546	0.006709781312742908	2861	3.51587625197023e-4	5.23992673992674	CRF1D7	Burkholderia
Burkholderia contaminans	565	0.005457557780564835	565	5.457557780564835e-5	1	CRF1D7	Burkholderia
Burkholderia gladioli	842	0.009461249273691805	842	9.461249273691805e-5	1	CRF1D7	Burkholderia
Burkholderia paludis	352	0.004077070059931772	636	7.36652431283127e-5	1.8068181818181819	CRF1D7	Burkholderia
Burkholderia pumila	1450	0.03938908346492456	19973	0.005425642510654747	13.774482758620689	CRF1D7	Burkholderia
Burkholderia verschuerenii	1983	0.0320434096902632	18250	0.0029490278711412172	9.203227433182047	CRF1D7	Burkholderia
Campylobacter blaseri	566	0.030272608584263484	735	3.9311603020200815e-4	1.2985865724381624	CRF1D7	Campylobacter
Candida aaseri	416	0.003965231780188901	416	3.965231780188901e-5	1	CRF1D7	Candida
Candida albicans	856	0.005914480617742626	856	5.914480617742626e-5	1	CRF1D7	Candida
Candida ascalaphidarum	1274	0.012175405737750743	2958	2.8269113165044506e-4	2.3218210361067504	CRF1D7	Candida
Candida blattae	2930	0.023956388580144913	3517	2.875584253801012e-4	1.2003412969283276	CRF1D7	Candida
Candida boidinii	38044	0.1963337241876553	38833	0.0020040551759486955	1.0207391441488802	CRF1D7	Candida
Candida bracarensis	269	0.002199591775391098	524	4.284706655408682e-5	1.9479553903345725	CRF1D7	Candida
Candida carpophila	43754	0.4271630977320348	47930	0.004679326981372315	1.0954427023814965	CRF1D7	Candida
Candida corydali	1817	0.015649791936145404	2886	2.4857071836937607e-4	1.5883324160704457	CRF1D7	Candida
Candida dubliniensis	1202	0.008222501717353625	2344	1.6034562417202076e-4	1.9500831946755408	CRF1D7	Candida
Candida duobushaemulonis	843	0.0067128753506641246	1118	8.902721995305447e-5	1.3262158956109134	CRF1D7	Candida
Candida ethanolica	271134	1.1499871994609012	312472	0.01325318109089774	1.1524633576017762	CRF1D7	Candida
Candida freyschussii	965	0.00878632530927865	965	8.786325309278651e-5	1	CRF1D7	Candida
Candida hawaiiana	450	0.003778518684648945	450	3.778518684648945e-5	1	CRF1D7	Candida
Candida incommunis	777	0.006410190305102784	1008	8.315922557971179e-5	1.2972972972972974	CRF1D7	Candida
Candida inconspicua	3001	0.02903704414695047	7242	7.007206721500011e-4	2.4131956014661777	CRF1D7	Candida
Candida intermedia	95875	0.7359702010175465	101329	0.007778370221528758	1.0568865710560627	CRF1D7	Candida
Candida maltosa	300	0.0023389478477001905	782	6.09685738967183e-5	2.6066666666666665	CRF1D7	Candida
Candida montana	890	0.007099861951560593	1320	1.0530132332651667e-4	1.4831460674157304	CRF1D7	Candida
Candida mycetangii	1863	0.015328324818968616	2006	1.6504895108347315e-4	1.0767579173376274	CRF1D7	Candida
Candida oregonensis	576	0.005262654422589505	725	6.62400079232186e-5	1.2586805555555556	CRF1D7	Candida
Candida orthopsilosis	158017	1.2482186163468556	171172	0.013521334856206862	1.0832505363346983	CRF1D7	Candida
Candida parapsilosis	6241	0.047823454289405994	10320	7.907996286919882e-4	1.653581156865887	CRF1D7	Candida
Candida ponderosae	1159	0.007839387653864046	1159	7.839387653864046e-5	1	CRF1D7	Candida
Candida psychrophila	1438	0.012791633453341627	2790	2.48182596208784e-4	1.9401947148817802	CRF1D7	Candida
Candida restingae	1843	0.013189280342626444	2410	1.724696995427549e-4	1.3076505697232772	CRF1D7	Candida
Candida sake	2688	0.019039275872874302	2688	1.90392758728743e-4	1	CRF1D7	Candida
Candida schatavii	692	0.005032799379016558	1253	9.112857835126801e-5	1.810693641618497	CRF1D7	Candida
Candida sojae	1347	0.011466457801775335	1921	1.6352684066228966e-4	1.4261321455085374	CRF1D7	Candida
Candida sorboxylosa	609017	5.6838529511626	662757	0.06185399307989221	1.0882405581453392	CRF1D7	Candida
Candida stellimalicola	783501	7.215599821410679	895145	0.08243777738811645	1.1424937555918881	CRF1D7	Candida
Candida tropicalis	4403944	30.101860276242075	6205336	0.4241474397474966	1.4090406235864943	CRF1D7	Candida
Candida vartiovaarae	1676	0.014951654236394218	3400	3.033151814065653e-4	2.028639618138425	CRF1D7	Candida
Candida viswanathii	16203	0.06703662654053813	24631	0.001019057673467873	1.5201505893970253	CRF1D7	Candida
Candida wancherniae	643	0.0062033518552749335	866	8.354747599794855e-5	1.3468118195956453	CRF1D7	Candida
Carnobacterium divergens	205	0.007913120880834576	879	3.3929918313432156e-4	4.287804878048781	CRF1D7	Carnobacterium
Carnobacterium gallinarum	1651	0.04085189690376768	3186	7.883352122071704e-4	1.929739551786796	CRF1D7	Carnobacterium
Carnobacterium inhibens subsp. gilichinskyi	1007	0.04032653682349431	1263	5.057836743602117e-4	1.2542204568023834	CRF1D7	Carnobacterium
Carnobacterium inhibens subsp. inhibens	822	0.029906046988148183	1406	5.115316552960626e-4	1.710462287104623	CRF1D7	Carnobacterium
Carnobacterium maltaromaticum	608	0.016193581482213427	608	1.6193581482213429e-4	1	CRF1D7	Carnobacterium
Carnobacterium pleistocenium	516	0.01937943736535798	516	1.937943736535798e-4	1	CRF1D7	Carnobacterium
Carnobacterium viridans	814	0.029467908759534988	814	2.9467908759534987e-4	1	CRF1D7	Carnobacterium
Cellulosimicrobium aquatile	7373	0.1707617367716976	7703	0.0017840467358638094	1.044757900447579	CRF1D7	Cellulosimicrobium
Cellulosimicrobium cellulans	11303	0.26433366424736937	12758	0.002983605138872811	1.1287268866672564	CRF1D7	Cellulosimicrobium
Cellulosimicrobium funkei	3472	0.07944200230455024	3472	7.944200230455025e-4	1	CRF1D7	Cellulosimicrobium
Cellulosimicrobium terreum	10142	0.2293818157803019	12626	0.002855624932007584	1.2449221060934728	CRF1D7	Cellulosimicrobium
Cellvibrio japonicus	24912	0.5443374332715768	169566	0.03705086753778428	6.806599229287091	CRF1D7	Cellvibrio
Cellvibrio mixtus	8354	0.161158737884399	54865	0.010584120366324576	6.5675125688293035	CRF1D7	Cellvibrio
Chitinophaga caeni	1813	0.03433763497597786	1948	3.689449141379199e-4	1.07446221731936	CRF1D7	Chitinophaga
Chitinophaga pinensis	578	0.0063326177913472555	578	6.332617791347255e-5	1	CRF1D7	Chitinophaga
Chitinophaga terrae	2311	0.03485219111849745	2482	3.743104212726554e-4	1.073993942016443	CRF1D7	Chitinophaga
Chryseobacterium arachidiradicis	2595	0.07116211992366595	2984	8.182958221665479e-4	1.1499036608863198	CRF1D7	Chryseobacterium
Chryseobacterium arachidis	2144	0.04333179462346207	2144	4.3331794623462067e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium balustinum	1539	0.03168092308205359	2099	4.320874434647855e-4	1.363872644574399	CRF1D7	Chryseobacterium
Chryseobacterium bernardetii	2603	0.04894113789367721	3536	6.648323610912126e-4	1.358432577794852	CRF1D7	Chryseobacterium
Chryseobacterium bovis	27956	0.8354938442250479	29597	0.008845368188413485	1.0586993847474604	CRF1D7	Chryseobacterium
Chryseobacterium caeni	1704	0.041375200957457114	2278	5.531262193725781e-4	1.3368544600938967	CRF1D7	Chryseobacterium
Chryseobacterium camelliae	3215	0.07346297854332624	4057	9.270273839821916e-4	1.2618973561430793	CRF1D7	Chryseobacterium
Chryseobacterium carnis	553	0.017120202396085325	553	1.7120202396085326e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium chaponense	907	0.02980464321508963	907	2.980464321508963e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium cucumeris	974	0.018275693908771262	974	1.8275693908771263e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium culicis	592	0.012070554839772561	2674	5.452139128640511e-4	4.516891891891892	CRF1D7	Chryseobacterium
Chryseobacterium daeguense	558	0.013239803690251234	558	1.3239803690251234e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium defluvii	1076	0.02898050307029038	1552	4.180087431699876e-4	1.4423791821561338	CRF1D7	Chryseobacterium
Chryseobacterium echinoideorum	2274	0.059551275638604934	2274	5.955127563860494e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium elymi	373	0.008124133271505702	831	1.8099610586115922e-4	2.227882037533512	CRF1D7	Chryseobacterium
Chryseobacterium flavum	1691	0.037822963034372374	2122	4.7463233328762965e-4	1.2548787699586044	CRF1D7	Chryseobacterium
Chryseobacterium formosense	525	0.01184404839951938	525	1.184404839951938e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium gallinarum	1408	0.030386530479761878	1408	3.038653047976188e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium gambrini	1012	0.02090180550704744	1012	2.090180550704744e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium geocarposphaerae	782	0.019012502300585717	1319	3.20684022179956e-4	1.686700767263427	CRF1D7	Chryseobacterium
Chryseobacterium gleum	4597	0.08252193643818305	4824	8.659687217267675e-4	1.0493800304546443	CRF1D7	Chryseobacterium
Chryseobacterium greenlandense	412	0.010206809279575159	412	1.0206809279575159e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium haifense	1174	0.04114159155581099	2125	7.446838335272432e-4	1.8100511073253833	CRF1D7	Chryseobacterium
Chryseobacterium halperniae	999	0.023581398313186463	999	2.3581398313186463e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium hispanicum	18325	0.4850931471493332	19577	0.005182356639422918	1.0683219645293316	CRF1D7	Chryseobacterium
Chryseobacterium hominis	2740	0.09381370515516581	2740	9.381370515516581e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium hungaricum	6531	0.16491491390385998	8073	0.002038521053354558	1.23610473128158	CRF1D7	Chryseobacterium
Chryseobacterium indologenes	2533	0.05180316107674496	2825	5.77749427721297e-4	1.1152783260955388	CRF1D7	Chryseobacterium
Chryseobacterium koreense	2543	0.08062258516652225	2741	8.68999236891221e-4	1.0778607943373968	CRF1D7	Chryseobacterium
Chryseobacterium kwangjuense	563	0.011066489157297662	812	1.596090443290533e-4	1.4422735346358793	CRF1D7	Chryseobacterium
Chryseobacterium lathyri	681	0.014019118701792552	1270	2.6144318283812836e-4	1.8649045521292218	CRF1D7	Chryseobacterium
Chryseobacterium molle	2783	0.0753107617536069	3330	9.011312850862772e-4	1.1965504850880344	CRF1D7	Chryseobacterium
Chryseobacterium muscoviscidosis	1591	0.036126609802641076	1694	3.8465416094075417e-4	1.0647391577624137	CRF1D7	Chryseobacterium
Chryseobacterium nakagawai	966	0.017242299465899245	966	1.7242299465899247e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium nematophagum	1875	0.04173377457618517	1875	4.1733774576185173e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium oranimense	1435	0.03120692058588982	1435	3.120692058588982e-4	1	CRF1D7	Chryseobacterium
Chryseobacterium piscicola	1029	0.029805352798053526	1323	3.8321167883211677e-4	1.2857142857142858	CRF1D7	Chryseobacterium
Chryseobacterium polytrichastri	616	0.011978260235481706	616	1.1978260235481707e-4	1	CRF1D7	Chryseobacterium
